domain,BCS_x,ID,literals_x,def_x,usage_x,hypernymID_x,hypernym_literals_x,hypernym_def_x,hypernym_usage_x,Prevod literala,Prevod def,Unnamed: 0,BCS_y,literals_y,def_y,usage_y,hypernymID_y,hypernym_literals_y,hypernym_def_y,hypernym_usage_y
medicine,,ENG30-00005526-v,pant; puff; gasp; heave,"breathe noisily, as when one is exhausted","1 : The runners reached the finish line, panting heavily",ENG30-00007012-v,blow,exhale hard,1 : blow on the soup to cool it down,,,,,,,,,,,
medicine,,ENG30-00006523-v,snort,make a snorting sound by exhaling hard,1 : The critic snorted contemtuously,ENG30-00004227-v,exhale; expire; breathe out,expel air,1 : Exhale when you lift the weight,,,,,,,,,,,
medicine,,ENG30-00006697-v,wheeze,breathe with difficulty,-,ENG30-00001740-v,breathe; take a breath; respire; suspire,"draw air into, and expel out of, the lungs",1 : The patient is respiring | 2 : I can breathe better when the air is clean,,,,,,,,,,,
medicine,,ENG30-00006802-v,puff; huff; chuff,blow hard and loudly,1 : he huffed and puffed as he made his way up the mountain,ENG30-00007012-v,blow,exhale hard,1 : blow on the soup to cool it down,,,,,,,,,,,
medicine,,ENG30-00007012-v,blow,exhale hard,1 : blow on the soup to cool it down,ENG30-00004227-v,exhale; expire; breathe out,expel air,1 : Exhale when you lift the weight,,,,,,,,,,,
medicine,,ENG30-00007328-v,yawn,"utter a yawn, as from lack of oxygen or when one is tired",1 : The child yawned during the long performance,ENG30-00001740-v,breathe; take a breath; respire; suspire,"draw air into, and expel out of, the lungs",1 : The patient is respiring | 2 : I can breathe better when the air is clean,,,,,,,,,,,
medicine,,ENG30-00007549-v,sniff; sniffle,inhale audibly through the nose,1 : the sick student was sniffling in the back row,ENG30-00005041-v,inhale; inspire; breathe in,draw in (air),1 : The lung cancer patient cannot inspire air very well | 2 : Inhale deeply | 3 : inhale the fresh mountain air | 4 : The patient has trouble inspiring,,,,,,,,,,,
medicine,,ENG30-00019182-v,reawaken,awaken once again,-,ENG30-00018813-v,awaken; wake; waken; rouse; wake up; arouse,cause to become awake or conscious,1 : Please wake me at 6 AM. | 2 : He was roused by the drunken men in the street,,,,,,,,,,,
medicine,,ENG30-00019273-v,cause to sleep,make fall asleep,1 : The soft music caused us to to fall asleep,ENG30-00126264-v,change; alter; modify,cause to change; make different; cause a transformation,1 : The discussion has changed my thinking about the issue | 2 : The advent of the automobile may have altered the growth pattern of the city,,,,,,,,,,,
medicine,,ENG30-00020671-v,hypnotize; hypnotise; mesmerize; mesmerise,induce hypnosis in,-,ENG30-00022316-v,sedate; calm; tranquilize; tranquillize; tranquillise,cause to be calm or quiet as by administering a sedative to,1 : The patient must be sedated before the operation,,,,,,,,,,,
medicine,,ENG30-00020926-v,entrance; spellbind,put into a trance,-,ENG30-00020671-v,hypnotize; hypnotise; mesmerize; mesmerise,induce hypnosis in,-,,,,,,,,,,,
medicine,,ENG30-00021554-v,etherize; etherise,anesthetize with ether,-,ENG30-00021065-v,anesthetize; anaesthetize; anesthetise; anaesthetise; put to sleep; put under; put out,make unconscious by means of anesthetic drugs,1 : The patient must be anesthetized before the operation,,,,,,,,,,,
medicine,,ENG30-00021679-v,cocainize; cocainise,anesthetize with cocaine,-,ENG30-00021065-v,anesthetize; anaesthetize; anesthetise; anaesthetise; put to sleep; put under; put out,make unconscious by means of anesthetic drugs,1 : The patient must be anesthetized before the operation,,,,,,,,,,,
medicine,,ENG30-00021826-v,chloroform,anesthetize with chloroform,1 : Doctors used to put people under by chloroforming them,ENG30-00021065-v,anesthetize; anaesthetize; anesthetise; anaesthetise; put to sleep; put under; put out,make unconscious by means of anesthetic drugs,1 : The patient must be anesthetized before the operation,,,,,,,,,,,
medicine,,ENG30-00021997-v,freeze,anesthetize by cold,-,ENG30-00021065-v,anesthetize; anaesthetize; anesthetise; anaesthetise; put to sleep; put under; put out,make unconscious by means of anesthetic drugs,1 : The patient must be anesthetized before the operation,,,,,,,,,,,
medicine,,ENG30-00227816-a,harmless; nonmalignant,not threatening to life or health; not malignant,1 : a benign tumor is usually harmless,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00023473-v,perk up; perk; percolate; pick up; gain vigor,gain or regain energy,1 : I picked up after a nap,ENG30-00092690-v,recuperate; recover; convalesce,get over an illness or shock,1 : The patient is recuperating,,,,,,,,,,,
medicine,,ENG30-00023646-v,faint; conk; swoon; pass out,"pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain",-,ENG30-00023868-v,zonk out; pass out; black out,"lose consciousness due to a sudden trauma, for example",-,,,,,,,,,,,
medicine,,ENG30-00023868-v,zonk out; pass out; black out,"lose consciousness due to a sudden trauma, for example",-,ENG30-00146138-v,change state; turn,undergo a transformation or a change of position or action,1 : The people turned against the President when he stole the election | 2 : We turned from Socialism to Capitalism,,,,,,,,,,,
medicine,,ENG30-00024047-v,come to; revive; resuscitate,return to consciousness,1 : She revived after the doctor gave her an injection | 2 : The patient came to quickly,ENG30-00146138-v,change state; turn,undergo a transformation or a change of position or action,1 : The people turned against the President when he stole the election | 2 : We turned from Socialism to Capitalism,,,,,,,,,,,
medicine,,ENG30-00242205-v,mummify; dry up,dry up and shrivel due to complete loss of moisture,1 : a mummified body was found,ENG30-00241689-v,shrivel; shrivel up; shrink; wither,"wither, especially with a loss of moisture",1 : The fruit dried and shriveled,,,,,,,,,,,
medicine,,ENG30-00037757-a,inactive,not progressing or increasing; or progressing slowly,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00039607-a,arrested; in remission,having development checked or reversed,1 : arrested tuberculosis,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00038260-a,indolent,of tumors e.g.; slow to heal or develop and usually painless,1 : leprosy is an indolent infectious disease | 2 : an indolent ulcer,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00038462-a,latent,not presently active,1 : latent diabetes | 2 : latent infection,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00038623-a,quiescent,causing no symptoms,1 : a quiescent tumor,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00461506-b,sordidly; squalidly,in a sordid or squalid way,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00246190-b,lustily,in a healthy manner,1 : the young plants grew lustily,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00464523-b,spotlessly,in a spotless manner,1 : spotlessly clean,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00044987-a,subacute,less than acute; relating to a disease present in a person with no symptoms of it,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00045356-a,degenerative,of illness; marked by gradual deterioration of organs and cells along with loss of function,1 : degenerative diseases of old age,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00047532-a,prolonged,(of illness) developing slowly or of long duration,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00045888-a,deadly,(of a disease) having a rapid course and violent effect,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00053035-v,quicken,show signs of life,1 : the fetus quickened,ENG30-01831531-v,move,"move so as to change position, perform a nontranslational motion",1 : He moved his hand slightly to the right,,,,,,,,,,,
medicine,,ENG30-00267249-v,ossify,become bony,1 : The tissue ossified,ENG30-00146138-v,change state; turn,undergo a transformation or a change of position or action,1 : The people turned against the President when he stole the election | 2 : We turned from Socialism to Capitalism,,,,,,,,,,,
medicine,,ENG30-00268011-v,get well; get over; bounce back,improve in health,1 : He got well fast,ENG30-00205046-v,better; improve; ameliorate; meliorate,get better,1 : The weather improved toward evening,,,,,,,,,,,
medicine,,ENG30-00268165-v,get worse; relapse,deteriorate in health,1 : he relapsed,ENG30-00146138-v,change state; turn,undergo a transformation or a change of position or action,1 : The people turned against the President when he stole the election | 2 : We turned from Socialism to Capitalism,,,,,,,,,,,
medicine,,ENG30-00268314-v,remit,diminish or abate,1 : The pain finally remitted,ENG30-00151689-v,decrease; diminish; lessen; fall,"decrease in size, extent, or range",1 : his voice fell to a whisper | 2 : The amount of homework decreased towards the end of the semester | 3 : The cabin pressure fell dramatically | 4 : her weight fall to under a hundred pounds,,,,,,,,,,,
medicine,,ENG30-00268477-v,paralyze; paralyse,cause to be paralyzed and immobile,1 : Fear paralyzed her | 2 : The poison paralyzed him,ENG30-00269140-v,immobilize; immobilise,cause to be unable to move,1 : The sudden storm immobilized the traffic,,,,,,,,,,,
medicine,,ENG30-00268680-v,palsy,affect with palsy,-,ENG30-00268477-v,paralyze; paralyse,cause to be paralyzed and immobile,1 : Fear paralyzed her | 2 : The poison paralyzed him,,,,,,,,,,,
medicine,,ENG30-01389186-v,bear down; overbear,contract the abdominal muscles during childbirth to ease delivery,-,ENG30-01387786-v,compress; constrict; squeeze; compact; contract; press,squeeze or press together,1 : the spasm contracted the muscle | 2 : she compressed her lips,,,,,,,,,,,
medicine,,ENG30-00063557-v,inflame,become inflamed; get sore,1 : His throat inflamed,ENG30-00203866-v,worsen; decline,grow worse,1 : Conditions in the slum worsened,,,,,,,,,,,
medicine,,ENG30-00063724-v,inflame,cause inflammation in,1 : The repetitive motion inflamed her joint,ENG30-00208210-v,worsen; aggravate; exacerbate; exasperate,make worse,1 : This drug aggravates the pain,,,,,,,,,,,
medicine,,ENG30-00064487-v,massage,give a massage to,1 : She massaged his sore back,ENG30-00078760-v,treat; care for,provide treatment for,1 : Treat the infection with antibiotics | 2 : The doctor treated my broken leg | 3 : The nurses cared for the bomb victims | 4 : The patient must be treated right away or she will die,,,,,,,,,,,
medicine,,ENG30-01092989-a,functional,involving or affecting function rather than physiology,1 : functional deafness,,-,-,-,,,,,,,,,,,
medicine,,ENG30-01093142-a,organic,involving or affecting physiology or bodily organs,1 : an organic disease,,-,-,-,,,,,,,,,,,
medicine,,ENG30-00499422-v,carnify,become muscular or fleshy,-,ENG30-00146138-v,change state; turn,undergo a transformation or a change of position or action,1 : The people turned against the President when he stole the election | 2 : We turned from Socialism to Capitalism,,,,,,,,,,,
medicine,,ENG30-00499512-v,chondrify,turn into cartilage,1 : The tissue chondrifies,ENG30-00146138-v,change state; turn,undergo a transformation or a change of position or action,1 : The people turned against the President when he stole the election | 2 : We turned from Socialism to Capitalism,,,,,,,,,,,
