domain,BCS,ID,literals,def,usage,hypernymID,hypernym_literals,hypernym_def,hypernym_usage,Prevod literala,Prevod def
medicine,,ENG30-00017031-v,snore; saw wood; saw logs,breathe noisily during one`s sleep,1 : she complained that her husband snores,ENG30-00001740-v,breathe; take a breath; respire; suspire,"draw air into, and expel out of, the lungs",1 : The patient is respiring | 2 : I can breathe better when the air is clean,hrkati,Bučno disati u toku spavanja
medicine,,ENG30-00018813-v,awaken; wake; waken; rouse; wake up; arouse,cause to become awake or conscious,1 : Please wake me at 6 AM. | 2 : He was roused by the drunken men in the street,ENG30-00126264-v,change; alter; modify,cause to change; make different; cause a transformation,1 : The discussion has changed my thinking about the issue | 2 : The advent of the automobile may have altered the growth pattern of the city,?awaken; ?wake; ?waken; ?rouse; ?wake up; ?arouse,?cause to become awake or conscious
medicine,,ENG30-00021065-v,anesthetize; anaesthetize; anesthetise; anaesthetise; put to sleep; put under; put out,make unconscious by means of anesthetic drugs,1 : The patient must be anesthetized before the operation,ENG30-00084738-v,drug; dose,administer a drug to,1 : They drugged the kidnapped tourist,anestezirati,Učiniti nekog nesvesnim pomoću zato uspavljujućeg sredstva.
medicine,,ENG30-00022099-v,bring to; bring back; bring round; bring around,bring back to consciousness,1 : These pictures bring back sad memories,ENG30-00018813-v,awaken; wake; waken; rouse; wake up; arouse,cause to become awake or conscious,1 : Please wake me at 6 AM. | 2 : He was roused by the drunken men in the street,?bring to; ?bring back; ?bring round; ?bring around,?bring back to consciousness
medicine,,ENG30-00037457-a,active,tending to become more severe or wider in scope,1 : active tuberculosis,,-,-,-,aktivan,težnja da postane ozbiljan ili šireg opsega.
medicine,,ENG30-00037653-a,progressive,advancing in severity,1 : progressive paralysis,,-,-,-,progresivan; progressivus,"koji postaje sve ozbiljniji, opasniji"
medicine,,ENG30-00044760-a,acute,having or experiencing a rapid onset and short but severe course,1 : acute patients | 2 : acute appendicitis | 3 : the acute phase of the illness,,-,-,-,akutan,"koji ima ili doživljava brzi početak i kratak, ali težak tok."
medicine,,ENG30-00045123-a,chronic,being long-lasting and recurrent or characterized by long suffering,1 : a chronic invalid | 2 : chronic indigestion | 3 : a chronic shortage of funds,,-,-,-,hroničan; hronično; učestali; učestalo,trajan i ponavljajući ili koga karakterišu dugotrajne patnje
medicine,,ENG30-00064583-b,clinically,in a clinical manner,1 : she is clinically qualified,,-,-,-,klinički,na način rada (vrstu lečenja) klinike.
medicine,,ENG30-00082563-v,remedy; relieve,provide relief for,1 : remedy his illness,ENG30-00078760-v,treat; care for,provide treatment for,1 : Treat the infection with antibiotics | 2 : The doctor treated my broken leg | 3 : The nurses cared for the bomb victims | 4 : The patient must be treated right away or she will die,izlečiti; isceliti,lečiti i ukloniti simptome bolesti
medicine,,ENG30-01425895-a,topical,pertaining to the surface of a body part,1 : a topical anesthesia | 2 : a drug for topical (or local) application,,-,-,-,topičan,koji se odnosi na površinu dela tela
medicine,,ENG30-01426077-a,general,affecting the entire body,1 : general symptoms | 2 : a general anesthetic,,-,-,-,sveopšti; sveobuhvatan,koji deluje na celo telo
medicine,,ENG30-00084230-v,medicate; medicine,"treat medicinally, treat with medicine",-,ENG30-00078760-v,treat; care for,provide treatment for,1 : Treat the infection with antibiotics | 2 : The doctor treated my broken leg | 3 : The nurses cared for the bomb victims | 4 : The patient must be treated right away or she will die,lečiti,Lečiti uz pomoć lekova
medicine,,ENG30-00084738-v,drug; dose,administer a drug to,1 : They drugged the kidnapped tourist,ENG30-00084230-v,medicate; medicine,"treat medicinally, treat with medicine",-,drogirati; davati narkotik,Davati nekome drogu u medicinske svrhe
medicine,,ENG30-00085353-v,overdose; o.d.,dose too heavily,1 : The rock star overdosed and was found dead in his hotel room,ENG30-00084738-v,drug; dose,administer a drug to,1 : They drugged the kidnapped tourist,do o.d.; do predoziranja; to o.d.; to overdose,prekomerno dozirati
medicine,,ENG30-00086077-v,bleed; leech; phlebotomize; phlebotomise,draw blood,"1 : In the old days, doctors routinely bled patients as part of the treatment",ENG30-00078760-v,treat; care for,provide treatment for,1 : Treat the infection with antibiotics | 2 : The doctor treated my broken leg | 3 : The nurses cared for the bomb victims | 4 : The patient must be treated right away or she will die,puštati krv; uraditi flebotomiju; flebotomizirati,pustiti krv.
medicine,,ENG30-00086320-v,inject; shoot,give an injection to,1 : We injected the glucose into the patient’s vein,ENG30-00081072-v,administer; dispense,give or apply (medications),-,ubrizgati; ušpricati,Dati injekciju.
medicine,,ENG30-00086835-v,immunize; immunise; inoculate; vaccinate,perform vaccinations or produce immunity in by inoculation,1 : The nurse vaccinated the children in the school | 2 : We vaccinate against scarlet fever,ENG30-00086320-v,inject; shoot,give an injection to,1 : We injected the glucose into the patient’s vein,da se imunizuje; imunizovati; inokulirati; to immunise; to immunize; to inoculate; to vaccinate; vakcinisati,vršiti vakcinaciju ili proizvesti imunitet putem vakcinacije
medicine,,ENG30-00080705-v,nurse,"try to cure by special care of treatment, of an illness or injury",1 : He nursed his cold with Chinese herbs,ENG30-00078760-v,treat; care for,provide treatment for,1 : Treat the infection with antibiotics | 2 : The doctor treated my broken leg | 3 : The nurses cared for the bomb victims | 4 : The patient must be treated right away or she will die,tretirati,"pokušati izlečenje   posebnom vrstom  nege,  lečenja, bolesti ili povrede;"
medicine,,ENG30-00087736-v,contract; take; get,"be stricken by an illness, fall victim to an illness",1 : She took a chill | 2 : He got AIDS | 3 : She came down with pneumonia,ENG30-00087454-v,sicken; come down,get sick,"1 : She fell sick last Friday, and now she is in the hospital",dobiti; pokupiti; zakačiti,"biti pogođen bolešću, postati žrtva bolesti"
medicine,,ENG30-00098083-v,resuscitate; revive,cause to regain consciousness,1 : The doctors revived the comatose man,ENG30-00022099-v,bring to; bring back; bring round; bring around,bring back to consciousness,1 : These pictures bring back sad memories,?resuscitate; ?revive,?cause to regain consciousness
medicine,,ENG30-00098517-v,resurrect; raise; upraise,cause to become alive again,"1 : Upraising ghosts | 2 : raise from the dead | 3 : Slavery is already dead, and cannot be resurrected",ENG30-00098083-v,resuscitate; revive,cause to regain consciousness,1 : The doctors revived the comatose man,ponovo oživeti; podići; podizati,dovesti do oživljavanja
medicine,,ENG30-00322962-n,intradermal injection,an injection into the skin,-,ENG30-00697365-n,injection; shot,the act of putting a liquid into the body by means of a syringe,1 : the nurse gave him a flu shot,intradermalna injekcija; podkožna injekcija,injekcija koja se ubrizgava u (pod) kožu
medicine,,ENG30-00323056-n,intramuscular injection,an injection into a muscle,-,ENG30-00697365-n,injection; shot,the act of putting a liquid into the body by means of a syringe,1 : the nurse gave him a flu shot,intramuskularna injekcija,injekcija koja se ubrizgava u mišić
medicine,,ENG30-00323152-n,intravenous injection,an injection into a vein,-,ENG30-00697365-n,injection; shot,the act of putting a liquid into the body by means of a syringe,1 : the nurse gave him a flu shot,intravenozna injekcija,injekcija koja se ubrizgava u venu
medicine,,ENG30-01177899-a,mental,affected by a disorder of the mind,1 : mental illness | 2 : a mental patient,,-,-,-,lud; ćaknut,koji je pogođen poremećajem uma
medicine,,ENG30-01171396-a,hale; whole,exhibiting or restored to vigorous good health,1 : a whole person again | 2 : hale and hearty | 3 : whole in mind and body,,-,-,-,zdrav i prav; neizmenjen; u dobrom zdravlju,koji ispoljava ili intezivno obnavlja dobro zdravlje
medicine,,ENG30-01171606-a,hearty,consuming abundantly and with gusto,1 : a hearty (or healthy) appetite,,-,-,-,hranljiv,koji konzumira obilato i sa guštom
medicine,,ENG30-01171746-a,hearty; full-blooded; lusty; red-blooded,endowed with or exhibiting great bodily or mental health,1 : a hearty glow of health,,-,-,-,zdrav; punokrvan; krepak; čio; pun života,koji je obdaren ili pokazuje odlično fizičko ili mentalno zdravlje
medicine,,ENG30-00153105-n,medical diagnosis,identification a disease from its symptoms,-,ENG30-00152727-n,diagnosis; diagnosing,identifying the nature or cause of some phenomenon,-,medicinska dijagnoza,identifikacija bolesti na osnovu njenih simptoma
medicine,,ENG30-00153665-n,prognosis; prospect; medical prognosis,a prediction of the course of a disease,-,ENG30-00153105-n,medical diagnosis,identification a disease from its symptoms,-,izgled; medicinska prognoza; prognoza; predikcija,predviđanje toka bolesti
medicine,,ENG30-00612160-n,medicine; practice of medicine,the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries,1 : he studied medicine at Harvard,ENG30-00610373-n,learned profession,one of the three professions traditionally believed to require advanced learning and high principles,-,medicina,profesija koja se izučava na medicinskom fakultetu ili sličnim ustanovama a u cilju lečenja i sprečavanja bolesti
medicine,,ENG30-01199009-v,puff; drag; draw,suck in or take (air),1 : draw on a cigarette | 2 : draw a deep breath,ENG30-00005041-v,inhale; inspire; breathe in,draw in (air),1 : The lung cancer patient cannot inspire air very well | 2 : Inhale deeply | 3 : inhale the fresh mountain air | 4 : The patient has trouble inspiring,zadihati se; uvući; udahnuti,usisati ili uzeti (vazduh)
medicine,,ENG30-00613282-n,preventive medicine,the branch of medicine concerned with preventing disease,1 : the medical establishment doesn’t profit from preventive medicine,ENG30-00612160-n,medicine; practice of medicine,the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries,1 : he studied medicine at Harvard,preventivna medicina,"grana medicine koja se bavi merama za sprečavanje bolesti kao što su poboljšanje higijenskih uslova, vakcinacija stanovništva, bolja medicinska informisanost."
medicine,,ENG30-00613473-n,alternative medicine,the practice of medicine without the use of drugs; may involve herbal medicines or self-awareness or biofeedback or acupuncture,-,ENG30-00612160-n,medicine; practice of medicine,the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries,1 : he studied medicine at Harvard,alternativna medicina; komparativna medicina,"zdravstvena praksa, pristupi, znanja i verovanja koja se odnose na preparate biljnog, mineralnog ili životinjskog porekla, duhovnu terapiju, kao i manualne tehnike i vežbe koje se primenjuju pojedinačno ili u kombinaciji u svrhu lečenja, dijagnostikovanja i sprečavanja bolesti"
medicine,,ENG30-00642045-n,endoscopy,visual examination of the interior of a hollow body organ by use of an endoscope,-,ENG30-00635850-n,examination; scrutiny,the act of examining something closely (as for mistakes),-,endoskopija,vizuelni pregled unutrašnjosti šupljih organa tela pomoću endoskopa.
medicine,,ENG30-00642325-n,celioscopy,endoscopic examination of the abdomen through the abdominal wall,-,ENG30-00642045-n,endoscopy,visual examination of the interior of a hollow body organ by use of an endoscope,-,celioskopija; coelioscopia,endoskopski pregled abdomena kroz zid stomaka.
medicine,,ENG30-00642604-n,culdoscopy,endoscopic examination of a woman`s pelvic organs by the insertion of a culdoscope through the vagina,-,ENG30-00642045-n,endoscopy,visual examination of the interior of a hollow body organ by use of an endoscope,-,kuldoskopija,endoskopska metoda ispitivanja organa u maloj karlici kod žena
medicine,,ENG30-00177127-n,diagnostic procedure; diagnostic technique,a procedure followed in making a medical diagnosis,-,ENG30-01023820-n,procedure; process,a particular course of action intended to achieve a result,1 : it was a process of trial and error | 2 : the procedure of obtaining a driver’s license,dijagnostička procedura; dijagnostička tehnika,procedura koja se preuzima da bi se došlo do medicinske dijagnoze
medicine,,ENG30-00658627-n,hospitalization; hospitalisation; hospital care,placing in medical care in a hospital,-,ENG30-00657604-n,medical care; medical aid,professional treatment for illness or injury,-,bolnička nega; bolničko lečenje; hospitalizacija,smeštaj na medicinsku negu u bolnicu
medicine,,ENG30-00662527-n,correction,treatment of a specific defect,1 : the correction of his vision with eye glasses,ENG30-00661091-n,therapy,(medicine) the act of caring for someone (as by medication or remedial training etc.),1 : heat therapy gave the best relief | 2 : the quarterback is undergoing treatment for a knee injury | 3 : he tried every treatment the doctors suggested,ispravka; izmena; korekcija,lečenje specifičnog defekta
medicine,,ENG30-00645552-v,diagnose; name,determine or distinguish the nature of a problem or an illness through a diagnostic analysis,-,ENG30-00644583-v,analyze; analyse; study; examine; canvass; canvas,consider in detail and subject to an analysis in order to discover essential features or meaning,1 : analyze your real motives | 2 : analyze a sonnet by Shakespeare | 3 : analyze the evidence in a criminal trial,da dijagnostikuje; dijagnosticirati; imenovati; nazvati,odrediti ili razlikovati prirodu problema ili bolesti putem dijagnostičke analize
medicine,,ENG30-00645771-v,diagnose,subject to a medical analysis,-,ENG30-00644583-v,analyze; analyse; study; examine; canvass; canvas,consider in detail and subject to an analysis in order to discover essential features or meaning,1 : analyze your real motives | 2 : analyze a sonnet by Shakespeare | 3 : analyze the evidence in a criminal trial,dijagnostikovati; dijagnosticirati,predmet medicinske analize
medicine,,ENG30-00678010-n,incision; section; surgical incision,the cutting of or into body tissues or organs (especially by a surgeon as part of an operation),-,ENG30-00387657-n,cut; cutting,the act of penetrating or opening open with a sharp edge,1 : his cut in the lining revealed the hidden jewels,rez; hirurški rez,zarezano mesto u telu ili nekom njegovom organu koje obično radi hirurg
medicine,,ENG30-00682856-n,laparotomy,surgical incision into the abdominal wall; often done to examine abdominal organs,-,ENG30-00678010-n,incision; section; surgical incision,the cutting of or into body tissues or organs (especially by a surgeon as part of an operation),-,laparotomija; trbušni rez,"operativno, hirurško otvaranje trbušne puplje"
medicine,,ENG30-00683012-n,laparoscopy,laparotomy performed with a laparoscope that makes a small incision to examine the abdominal cavity (especially the ovaries and Fallopian tubes),-,ENG30-00682856-n,laparotomy,surgical incision into the abdominal wall; often done to examine abdominal organs,-,laparoskopija,"lpromatranje, ispitivanje trbušne duplje radi ispitivanja uzroka bolesti"
medicine,,ENG30-00694990-n,administration; giving medication,the act of administering medication,-,ENG30-00664110-n,medication,the act of treating with medicines or remedies,-,administracija; davanje lekova,čin davanja lekova
medicine,,ENG30-00697365-n,injection; shot,the act of putting a liquid into the body by means of a syringe,1 : the nurse gave him a flu shot,ENG30-00657604-n,medical care; medical aid,professional treatment for illness or injury,-,injekcija,lek koji je u tečnom stanju i koji se ubrizgava u telu pomoću specijalne igle i kasule
medicine,,ENG30-00705580-n,radiotherapy; radiation therapy; radiation; actinotherapy; irradiation,(medicine) the treatment of disease (especially cancer) by exposure to radiation from a radioactive substance,-,ENG30-00661091-n,therapy,(medicine) the act of caring for someone (as by medication or remedial training etc.),1 : heat therapy gave the best relief | 2 : the quarterback is undergoing treatment for a knee injury | 3 : he tried every treatment the doctors suggested,radioterapija,lečenje bolesti (posebno kancera) izlaganjem radioaktivnim supstancama
